qid,label,
55983,азарт,
55983,актианость,
55983,активность,
55983,проявление активности,
55983,быть в команде,
55983,желание быть с командой,
55983,команда,
55983,вдохновение,
55983,воодушевление,
55983,взаимоподдержка,
55983,внимание,
55983,внимание к содержанию: что,
55983,говорит,
55983,горящие глаза,
55983,готовность к ответственности,
55983,действовать вместе,
55983,деньги,
55983,доверие,
55983,единый морально нравственный у,
55983,желание,
55983,желание,
55983,желание делать,
55983,желание позновать новое,
55983,желание пробовать новое,
55983,заинтересованность в результат,
55983,знание задачи,
55983,идейность,
55983,инициативность,
55983,инициатива,
55983,участие  интерес инициатива,
55983,интерес,
55983,интерес,
55983,интерес к делу,
55983,интерес к тому  что делаешь,
55983,заинтересованность,
55983,интерес и драйв в деятельности,
55983,интерес кайф азарт,
55983,интерес познавать/развиваться,
55983,исполнительность,
55983,когда в данный момент мысли,
55983,командная нацеленность,
55983,лояльность,
55983,лояльность к компании,
55983,любовь к своему делу,
55983,любовькделу,
55983,мотивация,
55983,мотивация,
55983,мотивация на успех,
55983,желание достичь результата,
55983,заряженность на результат,
55983,нацеленность на результат,
55983,неравнодушие,
55983,неравнодушие,
55983,обратная связь от руковолителя,
55983,общая цель,
55983,общий интерес,
55983,остается,
55983,ответственность,
55983,отдача,
55983,отдача делу,
55983,погружение в детали,
55983,погружение в задачу,
55983,поиск возможностей,
55983,поиск инструментов,
55983,помощь,
55983,признание,
55983,принятие всех задач,
55983,участие,
55983,причастность,
55983,проактивность,
55983,проактивный подход,
55983,работать без проблем,
55983,ради чего,
55983,развитие,
55983,самоотдача,
55983,самоотдача,
55983,самоотдача на 100%,
55983,смысл,
55983,соревнования,
55983,старается,
55983,тяга к развитию,
55983,уважение,
55983,успех коллектива,
55983,целепологание,
55983,цель,
55983,часть чего-то большого,
55983,человека полностью принадлежат,
55983,чувство вклада,
55983,чувство нового,
55983,эмоциональная отдача,
55983,энергия,
55983,этому делу,
54827,а вдруг там плохо,1
54827,боязнь нового,1
54827,боязнь ошибиться,2
54827,боязнь ошибки,1
54827,промах,1
54827,в выборе,1
54827,сложно выбрать,1
54827,влияние на чужую жизнь,1
54827,решение влияет на других людей,1
54827,в ответственности за его долго,1
54827,высокая ответственность,1
54827,отвественное,1
54827,ответственность,8
54827,высокие риски,1
54827,другое место работы,1
54827,если нужно при,1
54827,долгосрочное,1
54827,доооооолгий хвост решения,1
54827,на длительную перспективу,1
54827,за долгосрочный результат,1
54827,зависит дальнейшая жизнь,1
54827,от решения зависит дальнейшая,1
54827,влияние на будущую жизнь,1
54827,множество вариантов решения,1
54827,1. много вариантов,1
54827,много рисков,1
54827,2. много советчиков,1
54827,моя гиперответственность,1
54827,наличие времени,1
54827,не хватало опыта,1
54827,неизвестность,1
54827,ответственность неизвестность,1
54827,неопределеннос,1
54827,не уверен за конечный результа,1
54827,неизвестность результата решен,1
54827,ни в чем,1
54827,нет сложностей,1
54827,не уверен  просто,1
54827,неуверенность,2
54827,неуверенность  что справишься,1
54827,сомнения,1
54827,новые проблемы,1
54827,одиночество,1
54827,опасение последствий,1
54827,последствия,2
54827,принятие последствий,2
54827,отсутствие кадров,1
54827,отсутствиекадров,1
54827,отсутствие финансов,1
54827,решение под давлением,1
54827,решительность,1
54827,сильное влияние на жизнь,1
54827,это кординально поменяет жизнь,1
54827,скорость,1
54827,слишком много переменных для р,1
54827,сложность отмены,1
54827,смена места жительства,1
54827,ст,1
54827,страх,2
54827,финансы,1
54827,финансовая подоплека,1